id,comment,chars,relevance,risk_behaviors,primary_risk,risk_verbatim,relation,cancer_type,health_seeking,outcome,note,conf_overall,flags
c0001,เป็นเบาหวาน แล้วควบคุมค่าน้ำตาล ไม่ใด้,38,risk_opinion,chronic_condition,chronic_condition,เป็นเบาหวาน | ควบคุมค่าน้ำตาล ไม่ใด้,general,not_stated,none_mentioned,not_stated,ระบุว่าการเป็นโรคเบาหวานและไม่สามารถควบคุมระดับน้ำตาลได้เป็นปัจจัยเสี่ยงของการเกิดมะเร็ง,0.88,
c0003,ของแม่เราคือ เครียด เครียดสุดๆ เครียดแม้แต่เรื่องเล็กน้อย กินกาแฟหวานๆปาท่องโก๋ทอดเป็นอาหารเช้าทุกวัน ย้ำ ทุกวัน,112,personal_story,stress|sugary_drinks|fried_fatty,stress,เครียด เครียดสุดๆ เครียดแม้แต่เรื่องเล็กน้อย | กินกาแฟหวานๆ | ปาท่องโก๋ทอด,family,unspecified,none_mentioned,not_stated,ผู้แสดงความเห็นเล่าถึงพฤติกรรมเสี่ยงของแม่ คือมีความเครียดสูงมากในทุกเรื่อง และชอบดื่มกาแฟหวานคู่กับปาท่องโก๋ทอดเป็นอาหารเช้าทุกวัน,0.9,
c0004,แม่เราชอบกิน ปลาย่าง เลยจุดเตาย่างปลา เกือบทุกวัน เป็นมะเร็งปอดเลยค่า,69,personal_story,grilled_charred|smoke_fumes_home,grilled_charred,กิน ปลาย่าง | จุดเตาย่างปลา เกือบทุกวัน,family,lung,none_mentioned,not_stated,แม่ของผู้แสดงความคิดเห็นชอบรับประทานปลาย่างและจุดเตาย่างปลาเกือบทุกวัน ต่อมาป่วยเป็นมะเร็งปอด,0.92,
c0005,ป๊าเป็นมะเร็งลำไส้ค่ะ เครียด นอนพักผ่อนน้อย กินอาหารแปรรูปค่ะ (แกเสียไปตอนปี 62 ค่ะ),84,personal_story,stress|poor_sleep|processed_meat,stress,เครียด | นอนพักผ่อนน้อย | กินอาหารแปรรูป,family,colorectal,none_mentioned,died,คุณพ่อของผู้แสดงความคิดเห็นเป็นมะเร็งลำไส้และเสียชีวิตแล้ว มีพฤติกรรมเครียด นอนพักผ่อนน้อย และกินอาหารแปรรูป,0.95,
c0006,,219,personal_story,smoke_fumes_home,smoke_fumes_home,จุดธูปทุกวัน,family,lung,palliative_hospice,died,ย่าของผู้แสดงความเห็นสวดมนต์และจุดธูปทุกวัน ป่วยเป็นมะเร็งปอดระยะสุดท้ายและได้รับการรักษาแบบประคับประคองก่อนจะเสียชีวิต,0.95,
c0007,รักสุขภาพมากๆแต่ปฏิเสธไม่ได้ว่ารอบตัวเรามีสารเคมีเยอะมากจริงๆค่ะ,64,risk_opinion,chemicals,chemicals,สารเคมี,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุว่าแม้จะดูแลสุขภาพ แต่รอบตัวยังมีสารเคมีอยู่เป็นจำนวนมาก,0.85,
c0008,เครียดคะ ลูกสาวเป็นมะเร็ง เราเครียดมาก แต่เขาเสียไปแล้ว ละเราก็เป็นระหว่างรักษาลูกสาว เป็นทั้งแม่และลูก,103,personal_story,stress,stress,เครียด | เราเครียดมาก,self,unspecified,none_mentioned,died,ผู้แสดงความคิดเห็นระบุว่าความเครียดเป็นสาเหตุ โดยลูกสาวเป็นมะเร็งและเสียชีวิตแล้ว และตนเองก็ตรวจพบว่าเป็นมะเร็งเช่นกันระหว่างดูแลรักษาลูกสาว,0.9,
c0009,เครียด น้อยดึก กินไส้กรอก ปิ้งย่าง ขับถ่ายไม่เป็นเวลา ชอบของหมักดองค่ะ,70,risk_opinion,stress|poor_sleep|processed_meat|grilled_charred|irregular_bowel|fermented_pickled,stress,เครียด | น้อยดึก | กินไส้กรอก | ปิ้งย่าง | ขับถ่ายไม่เป็นเวลา | ชอบของหมักดอง,general,not_stated,none_mentioned,not_stated,ระบุพฤติกรรมเสี่ยง ได้แก่ ความเครียด นอนดึก กินไส้กรอก ปิ้งย่าง ขับถ่ายไม่เป็นเวลา และชอบกินของหมักดอง,0.9,
c0010,ไม่ดูแลตัวเองไม่ออกกำลังกายกินของไม่มีประโยชน์นอนไม่หลับค่ะ,59,risk_opinion,no_exercise|unhealthy_diet_general|poor_sleep,no_exercise,ไม่ดูแลตัวเอง | ไม่ออกกำลังกาย | กินของไม่มีประโยชน์ | นอนไม่หลับ,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุว่าพฤติกรรมเสี่ยงได้แก่ การไม่ดูแลตัวเอง ไม่ออกกำลังกาย รับประทานอาหารที่ไม่มีประโยชน์ และนอนไม่หลับ,0.9,
c0011,เครียด,6,risk_opinion,stress,stress,เครียด,general,not_stated,none_mentioned,not_stated,ผู้แสดงความเห็นระบุว่าความเครียดเป็นปัจจัยเสี่ยง,0.85,
c0012,ท้องผูกกินรสจัดเป๊บซี่เครียดนอนไม่หลับ,38,risk_opinion,irregular_bowel|strong_flavour|sugary_drinks|stress|poor_sleep,irregular_bowel,ท้องผูก | กินรสจัด | เป๊บซี่ | เครียด | นอนไม่หลับ,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุพฤติกรรมเสี่ยงได้แก่ ท้องผูก รับประทานอาหารรสจัด ดื่มเป๊บซี่ มีความเครียด และนอนไม่หลับ,0.9,
c0013,,361,personal_story,reheated_leftover|alcohol|recreational_drugs|smoking,reheated_leftover,อุ่นกับข้าว+ข้าว | กินกับข้าวที่อุ่นซ้ำๆ ซากๆ | ดื่มสุรา | กัญชา | สูบบุหรี่จัด | ยาสูบ,family,lymphoma,none_mentioned,not_stated,พ่อมีพฤติกรรมกินอาหารอุ่นซ้ำ ดื่มสุรา ใช้กัญชา และสูบบุหรี่จัด ปัจจุบันป่วยเป็นมะเร็งต่อมน้ำเหลืองระยะที่ 3,0.95,
c0014,จากทุกเม้น คือเริ่มจาก เครียด,29,risk_opinion,stress,stress,เครียด,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นมองว่าความเสี่ยงเริ่มต้นมาจากความเครียดโดยอ้างอิงจากความคิดเห็นอื่นๆ ในโพสต์,0.9,
c0015,ป้าผมจุดธูปไหว้เจ้าปิดบ้าน เกมหลังโพรงจมูก,42,personal_story,smoke_fumes_home,smoke_fumes_home,จุดธูปไหว้เจ้าปิดบ้าน,family,nasopharynx,none_mentioned,not_stated,ป้าของผู้แสดงความคิดเห็นป่วยเป็นมะเร็งหลังโพรงจมูก โดยระบุว่าเกิดจากพฤติกรรมจุดธูปไหว้เจ้าในบ้านที่ปิดทึบ,0.92,
c0016,กินของในตู้เย็นเก่าเก็บ ยายผมเป็นมะเร็งลำใส้,44,personal_story,reheated_leftover,reheated_leftover,กินของในตู้เย็นเก่าเก็บ,family,colorectal,none_mentioned,not_stated,ยายของผู้แสดงความคิดเห็นเป็นมะเร็งลำไส้ โดยระบุพฤติกรรมเสี่ยงคือการกินของเก่าเก็บที่แช่ในตู้เย็น,0.9,
