id,relevance,relation,cancer_type,outcome,conf_overall,risk_stress,risk_poor_sleep,risk_overwork,risk_processed_meat,risk_grilled_charred,risk_fried_fatty,risk_fermented_pickled,risk_reheated_leftover,risk_raw_undercooked,risk_strong_flavour,risk_sugary_drinks,risk_irregular_meals,risk_low_veg_fibre,risk_unhealthy_diet_general,risk_smoking,risk_alcohol,risk_recreational_drugs,risk_no_exercise,risk_overweight,risk_chronic_condition,risk_irregular_bowel,risk_chemicals,risk_smoke_fumes_home,risk_pollution,risk_hormones_meds,risk_infection,risk_no_screening,risk_genetic_family,risk_other_risk,risk_none_mentioned,n_risks
c0001,risk_opinion,general,not_stated,not_stated,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
c0003,personal_story,family,unspecified,not_stated,0.9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
c0004,personal_story,family,lung,not_stated,0.92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
c0005,personal_story,family,colorectal,died,0.95,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
c0006,personal_story,family,lung,died,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
c0007,risk_opinion,general,not_stated,not_stated,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
c0008,personal_story,self,unspecified,died,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c0009,risk_opinion,general,not_stated,not_stated,0.9,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
c0010,risk_opinion,general,not_stated,not_stated,0.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
c0011,risk_opinion,general,not_stated,not_stated,0.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c0012,risk_opinion,general,not_stated,not_stated,0.9,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
c0013,personal_story,family,lymphoma,not_stated,0.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
c0014,risk_opinion,general,not_stated,not_stated,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c0015,personal_story,family,nasopharynx,not_stated,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
c0016,personal_story,family,colorectal,not_stated,0.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c0017,personal_story,family,kidney,not_stated,0.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c0018,personal_story,family,esophagus,not_stated,0.95,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
c0020,risk_opinion,general,not_stated,not_stated,0.95,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
c0021,personal_story,family,not_stated,died,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c0022,risk_opinion,family,not_stated,not_stated,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
c0023,personal_story,family,breast,not_stated,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
c0024,risk_opinion,general,not_stated,not_stated,0.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
c0025,risk_opinion,self,not_stated,not_stated,0.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
c0026,personal_story,unclear,unspecified,not_stated,0.85,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
c0027,risk_opinion,general,stomach,not_stated,0.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
